id;tipoEquipamiento;postalCode;latitud;longitud
1;carnicerias--charcuterias;50001;41.60388737;-0.821310225
2;herboristerias--dieteticas;50001;41.60496158;-0.823547768
3;floristerias--viveros--semillas--clinicas-veterinaria;50001;41.60527532;-0.823963688
4;fruterias--verdulerias;50001;41.60527755;-0.823539181
5;panaderias--pastelerias;50001;41.60534687;-0.823537809
6;segunda-mano;50001;41.60536494;-0.823074969
7;audiovisual;50007;41.60849442;-0.888923425
8;electrodomesticos--electronica--moviles--mobiliario-cocina...;50001;41.61003025;-0.875504486
9;instalacion-deportiva-elemental;50007;41.61045392;-0.854735179
10;carnicerias--charcuterias;50001;41.61453174;-0.842248439
11;panaderias--pastelerias;50001;41.61506312;-0.874104935
12;floristerias--viveros--semillas--clinicas-veterinaria;50001;41.61516094;-0.926254919
13;espacios-destacados-fiestas-del-pilar;50001;41.61575288;-0.924157941
14;educacion-secundaria;50007;41.61631288;-0.886876254
15;alimentacion;50010;41.6172003;-0.872364961
16;tiendas-alimentacion;50001;41.61729906;-0.923272488
17;espacios-fiestas-del-pilar;50007;41.61817266;-0.898539421
18;supermercados-grandes;50001;41.61820064;-0.876739039
19;electrodomesticos--electronica--moviles--mobiliario-cocina...;50001;41.61822483;-0.919728368
20;piscinas-cubiertas;50012;41.61848538;-0.908268432
21;panaderias--pastelerias;50001;41.61877598;-0.92550696
22;carnicerias--charcuterias;50001;41.61906009;-0.921404529
23;farmacias;50007;41.61955847;-0.874495361
24;centros-deportivos;50007;41.61959028;-0.89727438
25;moda-mujer--hombre--infantil;50001;41.61966624;-0.919987228
26;textil-hogar;50001;41.62014568;-0.929254185
27;floristerias--viveros--semillas--clinicas-veterinaria;50001;41.620189;-0.920207227
28;policia-local;50007;41.62019962;-0.877264898
29;juguetes--articulos-deporte;50001;41.62032736;-0.917057472
30;muebles;50001;41.62033567;-0.921209895
31;floristerias--viveros--semillas--clinicas-veterinaria;50001;41.6205179;-0.921509747
32;fruterias--verdulerias;50001;41.62055942;-0.919808346
33;librerias--papelerias--quioscos-y-prensa;50001;41.62065551;-0.919703831
34;ferreterias--iluminacion--decoracion;50001;41.62078742;-0.919567317
35;juguetes--articulos-deporte;50001;41.62087718;-0.919465887
36;herboristerias--dieteticas;50001;41.62116509;-0.921593131
37;panaderias--pastelerias;50001;41.62117298;-0.932784458
38;panaderias--pastelerias;50001;41.6212967;-0.920022406
39;calzados--complementos--maletas;50001;41.6213045;-0.933361313
40;moda-mujer--hombre--infantil;50001;41.62139351;-0.933753364
41;material-construccion--saneamiento...;50001;41.62143564;-0.933952706
42;tiendas-alimentacion;50001;41.62153804;-0.921199811
43;opticas--centros-auditivos--ortopedias;50001;41.62204871;-0.936737506
44;panaderias--pastelerias;50001;41.62213086;-0.93711454
45;floristerias--viveros--semillas--clinicas-veterinaria;50001;41.62218926;-0.937367262
46;electrodomesticos--electronica--moviles--mobiliario-cocina...;50001;41.6222679;-0.937954465
47;electrodomesticos--electronica--moviles--mobiliario-cocina...;50001;41.62274122;-0.929985843
48;alimentacion;50007;41.62398799;-0.876327671
49;carnicerias--charcuterias;50001;41.62398799;-0.876327671
50;alimentacion;50007;41.62402795;-0.875975381
51;tiendas-alimentacion;50001;41.62402795;-0.875975381
52;puntos-seguros-violetas;50001;41.62415373;-0.946124592
53;espacios-fiestas-del-pilar;50012;41.62433294;-0.910954577
54;centros-ocupacionales;50012;41.62435515;-0.942403123
55;instalacion-deportiva-elemental;50007;41.62455902;-0.874459427
56;hogar-y-decoracion;50007;41.62459326;-0.876529255
57;moda-mujer--hombre--infantil;50001;41.62459326;-0.876529255
58;alimentacion;50007;41.62460849;-0.876061941
59;bazares;50001;41.62460849;-0.876061941
60;material-construccion--saneamiento...;50001;41.62468375;-0.878228254
61;campos-de-futbol;50007;41.62470548;-0.886194602
62;parques-y-jardines;50012;41.62475718;-0.922276265
63;electrodomesticos--electronica--moviles--mobiliario-cocina...;50001;41.62478435;-0.875466074
64;puntos-de-recogida-urbana-de-aceite-vegetal-usado;50007;41.6249105;-0.875863686
65;campos-de-futbol;50007;41.62499988;-0.872386932
66;centros-educativos;50012;41.62509508;-0.900652384
67;centros-educativos;50007;41.62511069;-0.877401484
68;escuela-infantil;50012;41.62522203;-0.910329033
69;empresas;50012;41.62522203;-0.910329033
70;alimentacion;50007;41.62528073;-0.876388442
71;tiendas-alimentacion;50001;41.62528073;-0.876388442
72;piscinas-municipales;50007;41.62529858;-0.8852615
73;escuela-infantil;50007;41.62540175;-0.880554876
74;centros-educativos;50012;41.62547619;-0.933223539
75;pescaderias;50001;41.62547743;-0.877138209
76;carnicerias--charcuterias;50001;41.62552767;-0.877259117
77;floristerias--viveros--semillas--clinicas-veterinaria;50001;41.62555051;-0.877924808
78;alimentacion;50007;41.62560208;-0.878098368
79;estancos;50001;41.62560208;-0.878098368
80;residencias;50007;41.62560832;-0.880308512
81;parque-empresarial;50011;41.6256107;-0.852221763
82;instalacion-deportiva-elemental;50007;41.62566177;-0.88653161
83;centros-educativos;50007;41.62567566;-0.881644471
84;material-construccion--saneamiento...;50001;41.62570722;-0.879148358
85;alimentacion;50007;41.62571832;-0.877769615
86;carnicerias--charcuterias;50001;41.62571832;-0.877769615
87;piscinas-de-verano;50007;41.6257186;-0.888886671
88;antenas-en-centros-educativos-y-juveniles;50012;41.62571946;-0.90693128
89;parques-y-jardines;50007;41.62577693;-0.884220981
90;supermercados-grandes;50001;41.62582243;-0.878685799
91;musica;50007;41.62584439;-0.878192688
92;moda-mujer--hombre--infantil;50001;41.62584439;-0.878192688
93;muebles;50001;41.62590895;-0.878479618
94;moda-y-complementos;50007;41.6259484;-0.878620927
95;transporte;50007;41.62595941;-0.876702375
96;instalacion-deportiva-elemental;50007;41.62596371;-0.882241581
97;juguetes--articulos-deporte;50001;41.62604535;-0.912608944
98;centros-educativos;50009;41.62616694;-0.906997459
99;farmacias;50012;41.62629562;-0.911745714
100;ferreterias--iluminacion--decoracion;50001;41.6263144;-0.910683852
101;centros-de-dia-s.-sociales;50012;41.62632069;-0.912624542
102;fruterias--verdulerias;50001;41.62634682;-0.880292464
103;puntos-de-recogida-urbana-de-aceite-vegetal-usado;50007;41.62635204;-0.889646475
104;tiendas-alimentacion;50001;41.62643197;-0.88326325
105;empresas;50012;41.62643795;-0.934157304
106;centros-de-tiempo-libre;50011;41.62660494;-0.883817926
107;centros-educativos;50012;41.62675678;-0.907719364
108;centros-de-dia-s.-sociales;50017;41.62687556;-0.873548523
109;carnicerias--charcuterias;50001;41.62689868;-0.883443754
110;segunda-mano;50001;41.62692523;-0.88129335
111;material-construccion--saneamiento...;50001;41.62695911;-0.886538899
112;tiendas-alimentacion;50001;41.62696559;-0.882016822
113;fruterias--verdulerias;50001;41.62700094;-0.875329978
114;electrodomesticos--electronica--moviles--mobiliario-cocina...;50001;41.62700366;-0.88563655
115;electrodomesticos--electronica--moviles--mobiliario-cocina...;50001;41.62701396;-0.886259696
116;farmacias;50007;41.62708947;-0.880876834
117;librerias--papelerias--quioscos-y-prensa;50001;41.62715988;-0.884074532
118;material-construccion--saneamiento...;50001;41.6271907;-0.886530608
119;zona-joven--ies-;50007;41.62721514;-0.886757764
